timestamp,flow
2022-12-02 15:57:04.915646,2
2022-12-02 15:57:04.919643,5
2022-12-02 15:57:04.921626,2
2022-12-02 15:57:04.925614,10
2022-12-02 15:57:04.927614,5
2022-12-02 15:57:04.931618,13
2022-12-02 15:57:04.933621,6
2022-12-02 15:57:04.937632,17
2022-12-02 15:57:04.939630,8
2022-12-02 15:57:04.943622,22
2022-12-02 15:57:04.945643,9
2022-12-02 15:57:04.949615,25
2022-12-02 15:57:04.951619,12
2022-12-02 15:57:04.953620,11
2022-12-02 15:57:04.957665,29
2022-12-02 15:57:04.959622,14
2022-12-02 15:57:04.963621,34
2022-12-02 15:57:04.965617,14
2022-12-02 15:57:04.969634,34
2022-12-02 15:57:04.971625,15
2022-12-02 15:57:04.975640,33
2022-12-02 15:57:04.977635,14
2022-12-02 15:57:04.981612,34
2022-12-02 15:57:04.983630,14
2022-12-02 15:57:04.987642,32
2022-12-02 15:57:04.989625,14
2022-12-02 15:57:04.993615,31
2022-12-02 15:57:04.995632,14
2022-12-02 15:57:04.999636,33
2022-12-02 15:57:05.001627,13
2022-12-02 15:57:05.005616,33
2022-12-02 15:57:05.007615,13
2022-12-02 15:57:05.011613,31
2022-12-02 15:57:05.013642,13
2022-12-02 15:57:05.017648,33
2022-12-02 15:57:05.019619,13
2022-12-02 15:57:05.023617,32
2022-12-02 15:57:05.025620,14
2022-12-02 15:57:05.029613,32
2022-12-02 15:57:05.031615,13
2022-12-02 15:57:05.035613,33
2022-12-02 15:57:05.037624,14
2022-12-02 15:57:05.041619,33
2022-12-02 15:57:05.043613,14
2022-12-02 15:57:05.047608,33
2022-12-02 15:57:05.049624,14
2022-12-02 15:57:05.057618,64
2022-12-02 15:57:05.059629,14
2022-12-02 15:57:05.063612,33
2022-12-02 15:57:05.065642,14
2022-12-02 15:57:05.069642,33
2022-12-02 15:57:05.071634,14
2022-12-02 15:57:05.075636,32
2022-12-02 15:57:05.077616,14
2022-12-02 15:57:05.081615,33
2022-12-02 15:57:05.083618,14
2022-12-02 15:57:05.087611,32
2022-12-02 15:57:05.089619,13
2022-12-02 15:57:05.093616,32
2022-12-02 15:57:05.095617,14
2022-12-02 15:57:05.099612,32
2022-12-02 15:57:05.101617,14
2022-12-02 15:57:05.105611,33
2022-12-02 15:57:05.107614,14
2022-12-02 15:57:05.111610,33
2022-12-02 15:57:05.113615,14
2022-12-02 15:57:05.117610,34
2022-12-02 15:57:05.119635,13
2022-12-02 15:57:05.123645,34
2022-12-02 15:57:05.125618,14
2022-12-02 15:57:05.129618,33
2022-12-02 15:57:05.131627,14
2022-12-02 15:57:05.135616,33
2022-12-02 15:57:05.137633,15
2022-12-02 15:57:05.141640,32
2022-12-02 15:57:05.143631,14
2022-12-02 15:57:05.147636,33
2022-12-02 15:57:05.149640,14
2022-12-02 15:57:05.153636,33
2022-12-02 15:57:05.155631,14
2022-12-02 15:57:05.159635,33
2022-12-02 15:57:05.161641,13
2022-12-02 15:57:05.165636,32
2022-12-02 15:57:05.167617,13
2022-12-02 15:57:05.171637,32
2022-12-02 15:57:05.173640,14
2022-12-02 15:57:05.175648,13
2022-12-02 15:57:05.179623,33
2022-12-02 15:57:05.181629,14
2022-12-02 15:57:05.185624,31
2022-12-02 15:57:05.187619,13
2022-12-02 15:57:05.191630,34
2022-12-02 15:57:05.193620,14
2022-12-02 15:57:05.197645,32
2022-12-02 15:57:05.199631,13
2022-12-02 15:57:05.203637,34
2022-12-02 15:57:05.205641,14
2022-12-02 15:57:05.209636,34
2022-12-02 15:57:05.211642,14
2022-12-02 15:57:05.215617,34
2022-12-02 15:57:05.217623,14
2022-12-02 15:57:05.221614,34
2022-12-02 15:57:05.223617,14
2022-12-02 15:57:05.227638,34
2022-12-02 15:57:05.229640,14
2022-12-02 15:57:05.233636,34
2022-12-02 15:57:05.235633,15
2022-12-02 15:57:05.239635,32
2022-12-02 15:57:05.241640,14
2022-12-02 15:57:05.245637,34
2022-12-02 15:57:05.247622,14
2022-12-02 15:57:05.251614,32
2022-12-02 15:57:05.253643,16
2022-12-02 15:57:05.257638,33
2022-12-02 15:57:05.259634,15
2022-12-02 15:57:05.263638,34
2022-12-02 15:57:05.265615,15
2022-12-02 15:57:05.269611,35
2022-12-02 15:57:05.271613,14
2022-12-02 15:57:05.275637,35
2022-12-02 15:57:05.277618,14
2022-12-02 15:57:05.281637,35
2022-12-02 15:57:05.283616,14
2022-12-02 15:57:05.287612,36
2022-12-02 15:57:05.289623,14
2022-12-02 15:57:05.293614,34
2022-12-02 15:57:05.295630,15
2022-12-02 15:57:05.299638,35
2022-12-02 15:57:05.301643,14
2022-12-02 15:57:05.305633,33
2022-12-02 15:57:05.307632,16
2022-12-02 15:57:05.311638,32
2022-12-02 15:57:05.313626,14
2022-12-02 15:57:05.317616,34
2022-12-02 15:57:05.319629,14
2022-12-02 15:57:05.323617,33
2022-12-02 15:57:05.325620,15
2022-12-02 15:57:05.329615,34
2022-12-02 15:57:05.331621,14
2022-12-02 15:57:05.335651,34
2022-12-02 15:57:05.337623,15
2022-12-02 15:57:05.341620,34
2022-12-02 15:57:05.343635,15
2022-12-02 15:57:05.347638,33
2022-12-02 15:57:05.349633,15
2022-12-02 15:57:05.353612,35
2022-12-02 15:57:05.355630,15
2022-12-02 15:57:05.359610,34
2022-12-02 15:57:05.361611,16
2022-12-02 15:57:05.365610,34
2022-12-02 15:57:05.367631,15
2022-12-02 15:57:05.369626,15
2022-12-02 15:57:05.373622,36
2022-12-02 15:57:05.375629,15
2022-12-02 15:57:05.379628,35
2022-12-02 15:57:05.381623,16
2022-12-02 15:57:05.385617,36
2022-12-02 15:57:05.387620,14
2022-12-02 15:57:05.391616,36
2022-12-02 15:57:05.393619,16
2022-12-02 15:57:05.397615,35
2022-12-02 15:57:05.399622,15
2022-12-02 15:57:05.403616,33
2022-12-02 15:57:05.405619,15
2022-12-02 15:57:05.409612,35
2022-12-02 15:57:05.411623,15
2022-12-02 15:57:05.415614,34
2022-12-02 15:57:05.417617,15
2022-12-02 15:57:05.421642,35
2022-12-02 15:57:05.423633,15
2022-12-02 15:57:05.427612,36
2022-12-02 15:57:05.429618,14
2022-12-02 15:57:05.433612,36
2022-12-02 15:57:05.435615,14
2022-12-02 15:57:05.439611,35
2022-12-02 15:57:05.441615,15
2022-12-02 15:57:05.445612,35
2022-12-02 15:57:05.447615,13
2022-12-02 15:57:05.451615,36
2022-12-02 15:57:05.453625,15
2022-12-02 15:57:05.457621,34
2022-12-02 15:57:05.459619,15
2022-12-02 15:57:05.463615,36
2022-12-02 15:57:05.465619,15
2022-12-02 15:57:05.469612,36
2022-12-02 15:57:05.471615,15
2022-12-02 15:57:05.475611,36
2022-12-02 15:57:05.477616,15
